,county,state,county_and_state,code,Deaths,Population,Crude Rate,fips,smoking,obesity,foodenv,exercise,noinsurance,physicians,pollution,diabetes
0,Autauga,Alabama,"Autauga County, AL",1001.0,163.0,55416.0,294.1,1001.0,19.0,38.0,7.2,69.0,9.0,42.0,11.7,14.0
1,Baldwin,Alabama,"Baldwin County, AL",1003.0,640.0,208563.0,306.9,1003.0,17.0,31.0,8.0,72.0,11.0,73.0,10.3,11.0
2,Barbour,Alabama,"Barbour County, AL",1005.0,90.0,25965.0,346.6,1005.0,22.0,44.0,5.6,54.0,13.0,39.0,11.5,18.0
3,Bibb,Alabama,"Bibb County, AL",1007.0,79.0,22643.0,348.9,1007.0,20.0,38.0,7.6,16.0,10.0,57.0,11.2,15.0
4,Blount,Alabama,"Blount County, AL",1009.0,199.0,57704.0,344.9,1009.0,20.0,34.0,8.5,23.0,12.0,23.0,11.7,14.0
5,Bullock,Alabama,"Bullock County, AL",1011.0,36.0,10362.0,347.4,1011.0,23.0,39.0,4.2,27.0,13.0,29.0,11.2,20.0
6,Butler,Alabama,"Butler County, AL",1013.0,108.0,19998.0,540.1,1013.0,22.0,40.0,6.5,49.0,11.0,30.0,10.6,18.0
7,Calhoun,Alabama,"Calhoun County, AL",1015.0,519.0,114611.0,452.8,1015.0,20.0,37.0,6.9,45.0,11.0,65.0,11.8,16.0
8,Chambers,Alabama,"Chambers County, AL",1017.0,136.0,33843.0,401.9,1017.0,22.0,40.0,6.3,62.0,11.0,50.0,11.4,17.0
9,Cherokee,Alabama,"Cherokee County, AL",1019.0,109.0,25725.0,423.7,1019.0,19.0,36.0,8.5,33.0,12.0,35.0,11.4,14.0
10,Chilton,Alabama,"Chilton County, AL",1021.0,186.0,43941.0,423.3,1021.0,20.0,35.0,8.1,47.0,14.0,18.0,11.2,15.0
11,Choctaw,Alabama,"Choctaw County, AL",1023.0,79.0,12993.0,608,1023.0,19.0,41.0,6.4,28.0,11.0,38.0,10.1,16.0
12,Clarke,Alabama,"Clarke County, AL",1025.0,111.0,24392.0,455.1,1025.0,21.0,40.0,5.4,24.0,11.0,57.0,10.4,19.0
13,Clay,Alabama,"Clay County, AL",1027.0,66.0,13492.0,489.2,1027.0,19.0,38.0,7.9,64.0,13.0,37.0,10.6,15.0
14,Cleburne,Alabama,"Cleburne County, AL",1029.0,69.0,14924.0,462.3,1029.0,20.0,35.0,8.0,41.0,12.0,27.0,11.0,13.0
15,Coffee,Alabama,"Coffee County, AL",1031.0,173.0,51226.0,337.7,1031.0,18.0,33.0,7.5,57.0,11.0,55.0,10.9,15.0
16,Colbert,Alabama,"Colbert County, AL",1033.0,217.0,54216.0,400.3,1033.0,18.0,33.0,7.4,55.0,10.0,68.0,10.7,18.0
17,Conecuh,Alabama,"Conecuh County, AL",1035.0,59.0,12395.0,476,1035.0,23.0,39.0,5.2,37.0,13.0,48.0,10.3,20.0
18,Coosa,Alabama,"Coosa County, AL",1037.0,50.0,10581.0,472.5,1037.0,21.0,40.0,6.9,8.0,13.0,,11.0,19.0
19,Covington,Alabama,"Covington County, AL",1039.0,170.0,37458.0,453.8,1039.0,21.0,33.0,7.5,51.0,12.0,51.0,10.5,15.0
20,Crenshaw,Alabama,"Crenshaw County, AL",1041.0,54.0,13913.0,388.1,1041.0,20.0,38.0,6.2,26.0,12.0,14.0,10.7,16.0
21,Cullman,Alabama,"Cullman County, AL",1043.0,326.0,82471.0,395.3,1043.0,20.0,35.0,8.3,46.0,13.0,58.0,11.6,16.0
22,Dale,Alabama,"Dale County, AL",1045.0,177.0,49226.0,359.6,1045.0,19.0,37.0,6.7,48.0,11.0,16.0,11.0,16.0
23,Dallas,Alabama,"Dallas County, AL",1047.0,203.0,40008.0,507.4,1047.0,22.0,42.0,4.3,49.0,10.0,75.0,11.1,17.0
24,DeKalb,Alabama,"DeKalb County, AL",1049.0,260.0,70900.0,366.7,1049.0,22.0,30.0,8.4,47.0,17.0,42.0,11.3,12.0
25,Elmore,Alabama,"Elmore County, AL",1051.0,229.0,81799.0,280,1051.0,19.0,36.0,7.6,52.0,9.0,27.0,11.9,15.0
26,Escambia,Alabama,"Escambia County, AL",1053.0,161.0,37728.0,426.7,1053.0,21.0,38.0,6.5,49.0,13.0,40.0,10.2,18.0
27,Etowah,Alabama,"Etowah County, AL",1055.0,459.0,102564.0,447.5,1055.0,23.0,36.0,7.1,45.0,12.0,79.0,11.5,15.0
28,Fayette,Alabama,"Fayette County, AL",1057.0,77.0,16546.0,465.4,1057.0,20.0,38.0,7.9,35.0,11.0,115.0,10.6,16.0
29,Franklin,Alabama,"Franklin County, AL",1059.0,120.0,31628.0,379.4,1059.0,21.0,33.0,8.0,58.0,13.0,44.0,10.5,14.0
30,Geneva,Alabama,"Geneva County, AL",1061.0,127.0,26614.0,477.2,1061.0,22.0,38.0,7.9,20.0,14.0,26.0,10.6,16.0
31,Greene,Alabama,"Greene County, AL",1063.0,39.0,8422.0,463.1,1063.0,24.0,42.0,3.1,6.0,11.0,59.0,10.5,19.0
32,Hale,Alabama,"Hale County, AL",1065.0,70.0,14952.0,468.2,1065.0,22.0,42.0,6.1,30.0,11.0,13.0,10.8,16.0
33,Henry,Alabama,"Henry County, AL",1067.0,74.0,17164.0,431.1,1067.0,20.0,38.0,7.7,26.0,12.0,29.0,10.9,17.0
34,Houston,Alabama,"Houston County, AL",1069.0,408.0,104056.0,392.1,1069.0,22.0,36.0,7.0,58.0,11.0,86.0,10.7,15.0
35,Jackson,Alabama,"Jackson County, AL",1071.0,253.0,52138.0,485.3,1071.0,22.0,37.0,7.9,48.0,13.0,52.0,11.0,16.0
36,Jefferson,Alabama,"Jefferson County, AL",1073.0,2018.0,659521.0,306,1073.0,18.0,33.0,6.2,80.0,10.0,108.0,13.4,13.0
37,Lamar,Alabama,"Lamar County, AL",1075.0,69.0,13918.0,495.8,1075.0,21.0,35.0,7.7,18.0,11.0,,10.3,16.0
38,Lauderdale,Alabama,"Lauderdale County, AL",1077.0,380.0,92318.0,411.6,1077.0,19.0,35.0,7.5,59.0,10.0,51.0,11.0,14.0
39,Lawrence,Alabama,"Lawrence County, AL",1079.0,146.0,33244.0,439.2,1079.0,21.0,35.0,7.9,49.0,14.0,15.0,11.3,15.0
40,Lee,Alabama,"Lee County, AL",1081.0,278.0,158991.0,174.9,1081.0,19.0,31.0,6.4,66.0,10.0,52.0,12.1,10.0
41,Limestone,Alabama,"Limestone County, AL",1083.0,256.0,92753.0,276,1083.0,19.0,34.0,8.2,60.0,11.0,36.0,11.8,12.0
42,Lowndes,Alabama,"Lowndes County, AL",1085.0,42.0,10358.0,405.5,1085.0,22.0,46.0,4.5,5.0,11.0,10.0,10.9,18.0
